planet_name,planet_status,mass,orbital_period,semi_major_axis,eccentricity,discovered,detection_type,star_name
HATS-13 b,Confirmed,0.543,3.0440499,0.04057,0.18,2015,Primary Transit,HATS-13
HATS-14 b,Confirmed,1.071,2.7667641,0.03815,0.142,2015,Primary Transit,HATS-14
HATS-15 b,Confirmed,2.17,1.74748753,0.02712,0,2014,Primary Transit,HATS-15
HATS-16 b,Confirmed,3.27,2.686502,0.03744,0,2015,Primary Transit,HATS-16
HATS-17 b,Confirmed,1.338,16.254611,0.1308,0.029,2016,Primary Transit,HATS-17
HATS-18 b,Confirmed,1.98,0.8378434,0.01761,0.166,2016,Primary Transit,HATS-18
HATS-19 b,Confirmed,0.427,4.569673,0.0589,0.3,2016,Primary Transit,HATS-19
HATS-2 b,Confirmed,1.345,1.354133,0.023,0,2013,Primary Transit,HATS-2
HATS-20 b,Confirmed,0.273,3.7992969,0.04619,0.5,2016,Primary Transit,HATS-20
HATS-21 b,Confirmed,0.332,3.5543973,0.04676,0,2016,Primary Transit,HATS-21
HATS-22 b,Confirmed,2.74,4.7228124,0.05025,0.079,2016,Primary Transit,HATS-22
HATS-23 b,Confirmed,1.47,2.1605156,0.03397,0.114,2015,Primary Transit,HATS-23
HATS-24 b,Confirmed,2.44,1.3484954,0.02547,0.24,2016,Primary Transit,HATS-24
HATS-25 b,Confirmed,0.613,4.2986432,0.05163,0.088,2016,Primary Transit,HATS-25
HATS-26 b,Confirmed,0.65,3.3023881,0.04735,0.122,2016,Primary Transit,HATS-26
HATS-27 b,Confirmed,0.53,4.637038,0.0611,0.29,2016,Primary Transit,HATS-27
HATS-28 b,Confirmed,0.672,3.1810781,0.04131,0.101,2016,Primary Transit,HATS-28
HATS-29 b,Confirmed,0.653,4.6058749,0.05475,0.079,2016,Primary Transit,HATS-29
HATS-30 b,Confirmed,0.706,3.1743516,0.04354,0.048,2016,Primary Transit,HATS-30
HATS-31 b,Confirmed,0.88,3.37796,0.0478,0.233,2016,Primary Transit,HATS-31
HATS-32 b,Confirmed,0.92,2.8126548,0.04024,0.471,2016,Primary Transit,HATS-32
HATS-33 b,Confirmed,1.192,2.5495551,0.03727,0.08,2016,Primary Transit,HATS-33
HATS-34 b,Confirmed,0.941,2.1061607,0.03166,0,2016,Primary Transit,HATS-34
HATS-35 b,Confirmed,1.222,1.8209933,0.03199,0,2016,Primary Transit,HATS-35
HATS-4 b,Confirmed,1.323,2.516729,0.0362,0.013,2014,Primary Transit,HATS-4
HATS-43 b,Confirmed,0.261,4.3888497,0.04944,0.173,2017,Primary Transit,HATS-43
HATS-44 b,Confirmed,0.56,2.7439004,0.03649,0.279,2017,Primary Transit,HATS-44
HATS-45 b,Confirmed,0.7,4.1876244,0.05511,0.24,2017,Primary Transit,HATS-45
HATS-46 b,Confirmed,0.173,4.7423729,0.05367,0.559,2017,Primary Transit,HATS-46
HATS-5 b,Confirmed,0.237,4.763387,0.0542,0.019,2014,Primary Transit,HATS-5
HATS-50 b,Confirmed,0.39,3.8297015,0.05046,0.516,2017,Primary Transit,HATS-50
HATS-51 b,Confirmed,0.768,3.3488702,0.04639,0.33,2017,Primary Transit,HATS-51
HATS-52 b,Confirmed,2.24,1.3665436,0.02498,0.246,2017,Primary Transit,HATS-52
HATS-53 b,Confirmed,0.595,3.8537768,0.04753,0.33,2017,Primary Transit,HATS-53
HATS-7 b,Confirmed,0.12,3.185315,0.04012,0,2015,Primary Transit,HATS-7
HATS-8 b,Confirmed,0.138,3.583893,0.04667,0.38,2015,Primary Transit,HATS-8
HATS-9 b,Confirmed,0.839,1.9153073,0.03048,0.129,2015,Primary Transit,HATS-9
HD 100655 b,Confirmed,1.7,157.57,0.76,0.085,2011,Radial Velocity,HD 100655
HD 100777 b,Confirmed,1.16,383.7,1.03,0.36,2007,Radial Velocity,HD 100777
HD 10180 c,Confirmed,0.041217,5.75979,0.0641,0.045,2010,Radial Velocity,HD 10180
HD 10180 d,Confirmed,0.03696945,16.3579,0.1286,0.088,2010,Radial Velocity,HD 10180
HD 10180 e,Confirmed,0.07897304,49.745,0.2699,0.026,2010,Radial Velocity,HD 10180
HD 10180 f,Confirmed,0.07519743,122.76,0.4929,0.135,2010,Radial Velocity,HD 10180
HD 10180 g,Confirmed,0.06733159,601.2,1.422,0.19,2010,Radial Velocity,HD 10180
HD 10180 h,Confirmed,0.202624,2222,3.4,0.08,2010,Radial Velocity,HD 10180
HD 101930 b,Confirmed,0.3,70.46,0.302,0.11,2005,Radial Velocity,HD 101930
HD 102117 b,Confirmed,0.172,20.67,0.1532,0.106,2004,Radial Velocity,HD 102117
HD 102195 b,Confirmed,0.45,4.113775,0.049,0,2005,Radial Velocity,HD 102195
HD 102272 b,Confirmed,5.9,127.58,0.614,0.05,2008,Radial Velocity,HD 102272
HD 102272 c,Confirmed,2.6,520,1.57,0.68,2008,Radial Velocity,HD 102272
HD 102329 b,Confirmed,5.9,778.1,2.01,0.211,2011,Radial Velocity,HD 102329
HD 102365 b,Confirmed,0.05,122.1,0.46,0.34,2011,Radial Velocity,HD 102365
HD 102956 b,Confirmed,0.96,6.495,0.081,0.048,2010,Radial Velocity,HD 102956
HD 103197 b,Confirmed,0.098,47.84,0.249,0,2009,Radial Velocity,HD 103197
HD 103720 b,Confirmed,0.62,4.5557,0.0498,0.086,2014,Radial Velocity,HD 103720
HD 103774 b,Confirmed,0.367,5.8881,0.07,0.09,2013,Radial Velocity,HD 103774
HD 104067 b,Confirmed,0.186,55.806,0.2643,0,2009,Radial Velocity,HD 104067
HD 10442 b,Confirmed,2.1,1043,2.335,0.11,2014,Primary Transit,HD 10442
HD 104985 b,Confirmed,8.3,199.505,0.95,0.09,2003,Radial Velocity,HD 104985
HD 106252 b,Confirmed,32.9,1600,2.7,0.47,2002,Radial Velocity,HD 106252
HD 106270 b,Confirmed,11,2890,4.3,0.402,2011,Radial Velocity,HD 106270
HD 106315 b,Confirmed,0.0396,9.5521,0.09012,0.3,2017,Primary Transit,HD 106315
HD 106315 c,Confirmed,0.0478,21.0576,0.1526,0.23,2017,Primary Transit,HD 106315
HD 10647 b,Confirmed,0.93,1003,2.03,0.1,2003,Radial Velocity,HD 10647
HD 106515 A b,Confirmed,9.61,3630,4.59,0.572,2011,Radial Velocity,HD 106515 A
HD 10697 b,Confirmed,6.83,1076.4,2.16,0.1,2000,Radial Velocity,HD 10697
HD 107148 b,Confirmed,0.21,48.056,0.269,0.05,2006,Radial Velocity,HD 107148
HD 108147 b,Confirmed,0.261,10.8985,0.102,0.53,2002,Radial Velocity,HD 108147
HD 108341 b,Confirmed,3.5,1129,2,0.85,2014,Radial Velocity,HD 108341
HD 108863 b,Confirmed,2.6,443.4,1.4,0.1,2011,Radial Velocity,HD 108863
HD 108874 b,Confirmed,1.36,395.4,1.051,0.07,2003,Radial Velocity,HD 108874
HD 108874 c,Confirmed,1.018,1605.8,2.68,0.25,2005,Radial Velocity,HD 108874
HD 109246 b,Confirmed,0.77,68.27,0.33,0.12,2010,Radial Velocity,HD 109246
HD 109271 b,Confirmed,0.054,7.8543,0.079,0.25,2013,Radial Velocity,HD 109271
HD 109271 c,Confirmed,0.076,30.93,0.196,0.15,2013,Radial Velocity,HD 109271
HD 109749 b,Confirmed,0.28,5.23921,0.0635,0.0451,2005,Radial Velocity,HD 109749
HD 110014 b,Confirmed,10.7,882.6,2.31,0.26,2009,Radial Velocity,HD 110014
HD 110014 c,Confirmed,3.1,130,0.64,0.44,2015,Radial Velocity,HD 110014
HD 111232 b,Confirmed,6.8,1143,1.97,0.2,2004,Radial Velocity,HD 111232
HD 111591 b,Confirmed,4.4,1056.4,2.5,0.26,2017,Radial Velocity,HD 111591
HD 113337 b,Confirmed,2.83,324,0.92,0.46,2013,Radial Velocity,HD 113337
HD 113538 b,Confirmed,0.36,663.2,1.24,0.14,2010,Radial Velocity,HD 113538
HD 113538 c,Confirmed,0.93,1818,2.44,0.2,2010,Radial Velocity,HD 113538
HD 113996 b,Confirmed,6.3,610.2,1.6,0.28,2017,Radial Velocity,HD 113996
HD 114386 b,Confirmed,1.24,937,1.02,0.23,2003,Radial Velocity,HD 114386
HD 114613 b,Confirmed,0.48,3827,5.16,0.25,2014,Radial Velocity,HD 114613
HD 114729 b,Confirmed,0.84,1135,2.08,0.32,2002,Radial Velocity,HD 114729
HD 114762 b,Confirmed,10.98,83.9151,0.353,0.3354,1989,Radial Velocity,HD 114762
HD 114783 b,Confirmed,6.3,493.7,1.16,0.144,2001,Radial Velocity,HD 114783
HD 11506 b,Confirmed,3.44,1270,2.43,0.22,2007,Radial Velocity,HD 11506
HD 11506 c,Confirmed,0.82,170.46,0.639,0.42,2009,Radial Velocity,HD 11506
HD 116029 b,Confirmed,2.1,670.2,1.73,0.21,2011,Radial Velocity,HD 116029
HD 117207 b,Confirmed,2.06,2627.08,3.78,0.16,2004,Radial Velocity,HD 117207
HD 11755 b,Confirmed,6.5,433.7,1.08,0.19,2015,Radial Velocity,HD 11755
HD 117618 b,Confirmed,0.178,25.827,0.176,0.42,2004,Radial Velocity,HD 117618
HD 117618 c,Confirmed,0.2,318,0.93,0,2013,Radial Velocity,HD 117618
HD 118203 b,Confirmed,2.14,6.13322,0.07,0.2943,2005,Radial Velocity,HD 118203
HD 119445 b,Confirmed,37.6,410.2,1.71,0.082,2009,Radial Velocity,HD 119445
HD 11964 b,Confirmed,0.622,1945,3.16,0.041,2005,Radial Velocity,HD 11964
HD 11964 c,Confirmed,0.079,37.91,0.229,0.3,2005,Radial Velocity,HD 11964
HD 11977 b,Confirmed,6.29,711,1.89,0.4,2005,Radial Velocity,HD 11977
HD 120084 b,Confirmed,4.5,2082,4.3,0.66,2013,Radial Velocity,HD 120084
HD 121504 b,Confirmed,1.22,63.33,0.33,0.03,2003,Radial Velocity,HD 121504
HD 122562 b,Confirmed,24,2777,4.1,0.71,2016,Radial Velocity,HD 122562
HD 12484 b,Confirmed,2.98,58.83,0.297,0.07,2016,Radial Velocity,HD 12484
HD 125595 b,Confirmed,0.042,9.6737,0.0809,0,2009,Radial Velocity,HD 125595
HD 125612 b,Confirmed,3,502,1.37,0.46,2007,Radial Velocity,HD 125612
HD 125612 c,Confirmed,0.058,4.1547,0.05,0.27,2009,Radial Velocity,HD 125612
HD 125612 d,Confirmed,7.2,3008,4.2,0.28,2009,Radial Velocity,HD 125612
HD 12648 b,Confirmed,2.9,133.6,0.54,0.04,2015,Radial Velocity,HD 12648
HD 126525 b,Confirmed,0.224,948.12,1.8105,0.13,2011,Radial Velocity,HD 126525
HD 12661 b,Confirmed,2.3,263.6,0.83,0.377,2000,Radial Velocity,HD 12661
HD 12661 c,Confirmed,1.57,1708,2.56,0.031,2002,Radial Velocity,HD 12661
HD 126614 b,Confirmed,0.38,1244,2.35,0.41,2010,Radial Velocity,HD 126614
HD 128311 b,Confirmed,2.18,448.6,1.099,0.25,2002,Radial Velocity,HD 128311
HD 128311 c,Confirmed,4.19,919,1.76,0.17,2005,Radial Velocity,HD 128311
HD 128356 b,Confirmed,0.89,298.2,0.87,0.57,2016,Radial Velocity,HD 128356
HD 129445 b,Confirmed,1.6,1840,2.9,0.7,2010,Radial Velocity,HD 129445
HD 130322 b,Confirmed,1.05,10.72,0.088,0.044,1999,Radial Velocity,HD 130322
HD 131496 b,Confirmed,2.2,883,2.09,0.163,2011,Radial Velocity,HD 131496
HD 13189 b,Confirmed,14,471.6,1.85,0.27,2005,Radial Velocity,HD 13189
HD 132406 b,Confirmed,5.61,974,1.98,0.34,2007,Radial Velocity,HD 132406
HD 132563 B b,Confirmed,1.49,1544,2.62,0.22,2011,Radial Velocity,HD 132563B
HD 133131 A b,Confirmed,1.43,649,1.44,0.32,2016,Radial Velocity,HD 133131 A
HD 133131 A c,Confirmed,0.48,3407,4.36,0.47,2016,Radial Velocity,HD 133131 A
HD 134060 b,Confirmed,0.0351,3.27,0.0444,0.4,2011,Radial Velocity,HD 134060
HD 134060 c,Confirmed,0.1507,1160.9,2.2263,0.75,2011,Radial Velocity,HD 134060
HD 134113 b,Confirmed,47,201.68,0.638,0.0891,2016,Radial Velocity,HD 134113
HD 134606 b,Confirmed,0.0292,12.083,0.1023,0.15,2011,Radial Velocity,HD 134606
HD 134606 c,Confirmed,0.0382,59.519,0.2962,0.29,2011,Radial Velocity,HD 134606
HD 134606 d,Confirmed,0.121,459.26,1.1567,0.46,2011,Radial Velocity,HD 134606
HD 134987 b,Confirmed,1.59,258.19,0.81,0.233,1999,Radial Velocity,HD 134987
HD 134987 c,Confirmed,0.82,5000,5.8,0.12,2009,Radial Velocity,HD 134987
HD 136352 b,Confirmed,0.0166,11.577,0.0933,0.18,2011,Radial Velocity,HD 136352
HD 136352 c,Confirmed,0.0358,27.582,0.1665,0.16,2011,Radial Velocity,HD 136352
HD 136352 d,Confirmed,0.03,106.72,0.411,0.43,2011,Radial Velocity,HD 136352
HD 136418 b,Confirmed,2,464.3,1.32,0.255,2010,Radial Velocity,HD 136418
HD 137388 b,Confirmed,0.223,330,0.89,0.36,2011,Radial Velocity,HD 137388
HD 13808 b,Confirmed,0.0325,14.182,0.1017,0.17,2011,Radial Velocity,HD 13808
HD 13808 c,Confirmed,0.036,53.832,0.2476,0.43,2011,Radial Velocity,HD 13808
HD 13908 b,Confirmed,0.865,19.382,0.154,0.046,2013,Radial Velocity,HD 13908
HD 13908 c,Confirmed,5.13,931,2.03,0.12,2013,Radial Velocity,HD 13908
HD 13931 b,Confirmed,1.88,4218,5.15,0.02,2010,Radial Velocity,HD 13931
HD 139357 b,Confirmed,9.76,1125.7,2.36,0.1,2009,Radial Velocity,HD 139357
HD 14067 b,Confirmed,7.8,1455,3.4,0.533,2014,Radial Velocity,HD 14067
HD 141399 b,Confirmed,0.451,94.44,0.415,0.04,2014,Radial Velocity,HD 141399
HD 141399 c,Confirmed,1.33,201.99,0.689,0.048,2014,Radial Velocity,HD 141399
HD 141399 d,Confirmed,1.18,1069.8,2.09,0.074,2014,Radial Velocity,HD 141399
HD 141399 e,Confirmed,0.66,5000,5,0.26,2014,Radial Velocity,HD 141399
HD 141937 b,Confirmed,9.7,653.22,1.52,0.41,2002,Radial Velocity,HD 141937
HD 142 b,Confirmed,1.25,349.7,1.02,0.17,2001,Radial Velocity,HD 142
HD 142 c,Confirmed,5.3,6005,6.8,0.21,2012,Radial Velocity,HD 142
HD 142022 A b,Confirmed,29,1928,3.03,0.53,2005,Radial Velocity,HD 142022 A
HD 142245 b,Confirmed,1.9,1299,2.77,0.32,2011,Radial Velocity,HD 142245
HD 142415 b,Confirmed,1.62,386.3,1.05,0.5,2003,Radial Velocity,HD 142415
HD 143105 b,Confirmed,1.21,2.1974,0.0379,0.07,2016,Radial Velocity,HD 143105
HD 143361 b,Confirmed,3.12,1057,2,0.15,2008,Radial Velocity,HD 143361
HD 143761 b,Confirmed,1.045,39.8458,0.2196,0.037,2016,Radial Velocity,HD 143761
HD 143761 c,Confirmed,0.079,102.54,0.4123,0.05,2016,Radial Velocity,HD 143761
HD 145377 b,Confirmed,5.76,103.95,0.45,0.307,2008,Radial Velocity,HD 145377
HD 145457 b,Confirmed,2.9,176.3,0.76,0.112,2010,Radial Velocity,HD 145457
HD 145934 b,Confirmed,2.28,2730,4.6,0.053,2015,Radial Velocity,HD 145934
HD 1461 b,Confirmed,0.0203,5.77152,0.0634,0,2009,Radial Velocity,HD 1461
HD 1461 c,Confirmed,0.0176,13.5052,0.1117,0,2011,Radial Velocity,HD 1461
HD 147018 b,Confirmed,2.12,44.236,0.2388,0.4686,2009,Radial Velocity,HD 147018
HD 147018 c,Confirmed,6.56,1008,1.922,0.133,2009,Radial Velocity,HD 147018
HD 147379 b,Confirmed,0.0777,86.54,0.3193,0.01,2017,Radial Velocity,HD 147379
HD 147513 b,Confirmed,1.21,528.4,1.32,0.26,2003,Radial Velocity,HD 147513
HD 147873 b,Confirmed,5.14,116.596,0.522,0.207,2016,Radial Velocity,HD 147873
HD 147873 c,Confirmed,2.3,491.54,1.36,0.23,2016,Radial Velocity,HD 147873
HD 148156 b,Confirmed,0.85,1010,2.45,0.52,2009,Radial Velocity,HD 148156
HD 148427 b,Confirmed,0.96,331.5,0.93,0.16,2009,Radial Velocity,HD 148427
HD 149026 b,Confirmed,0.357,2.8758916,0.04288,0,2005,Primary Transit,HD 149026
HD 149143 b,Confirmed,1.33,4.07206,0.052,0.0123,2005,Radial Velocity,HD 149143
HD 1502 b,Confirmed,3.1,431.8,1.31,0.101,2011,Radial Velocity,HD 1502
HD 150433 b,Confirmed,0.168,1096.2,1.9303,0,2011,Radial Velocity,HD 150433
HD 150706 b,Confirmed,2.71,5894,6.7,0.38,2002,Radial Velocity,HD 150706
HD 152079 b,Confirmed,3,2097,3.2,0.6,2010,Radial Velocity,HD 152079
HD 152581 b,Confirmed,1.5,689,1.48,0.22,2011,Radial Velocity,HD 152581
HD 153950 b,Confirmed,2.73,499.4,1.28,0.34,2008,Radial Velocity,HD 153950
HD 154088 b,Confirmed,0.0193,18.596,0.1316,0.38,2011,Radial Velocity,HD 154088
HD 154345 b,Confirmed,1.3,3538,4.3,0.26,2006,Radial Velocity,HD 154345
HD 154672 b,Confirmed,5.02,163.91,0.6,0.61,2008,Radial Velocity,HD 154672
HD 154857 b,Confirmed,2.24,408.6,1.291,0.46,2004,Radial Velocity,HD 154857
HD 154857 c,Confirmed,2.58,3452,5.36,0.06,2014,Radial Velocity,HD 154857
HD 155233 b,Confirmed,2.6,818.8,2,0.04,2015,Radial Velocity,HD 155233
HD 155358 b,Confirmed,0.85,194.3,0.64,0.17,2007,Radial Velocity,HD 155358
HD 155358 c,Confirmed,0.82,391.9,1.02,0.16,2007,Radial Velocity,HD 155358
HD 156279 b,Confirmed,9.71,131.05,0.495,0.708,2011,Radial Velocity,HD 156279
HD 156411 b,Confirmed,0.74,842.2,1.88,0.22,2009,Radial Velocity,HD 156411
HD 156668 b,Confirmed,0.0131,4.646,0.05,0,2010,Radial Velocity,HD 156668
HD 157172 b,Confirmed,0.12,104.84,0.416,0.46,2011,Radial Velocity,HD 157172
HD 158038 b,Confirmed,1.8,521,1.52,0.291,2011,Radial Velocity,HD 158038
HD 159243 b,Confirmed,1.13,12.62,0.11,0.02,2013,Radial Velocity,HD 159243
HD 159243 c,Confirmed,1.9,248.4,0.8,0.075,2013,Radial Velocity,HD 159243
HD 159868 b,Confirmed,2.1,1178.4,2.25,0.01,2007,Radial Velocity,HD 159868
HD 159868 c,Confirmed,0.73,352.3,1,0.15,2012,Radial Velocity,HD 159868
HD 1605 b,Confirmed,0.96,577.9,1.48,0.078,2015,Radial Velocity,HD 1605
HD 1605 c,Confirmed,3.48,2111,3.52,0.098,2015,Radial Velocity,HD 1605
HD 160508 b,Confirmed,48,178.9049,0.68,0.5967,2016,Radial Velocity,HD 160508
HD 16141 b,Confirmed,0.215,75.82,0.35,0.28,2000,Radial Velocity,HD 16141
HD 16175 b,Confirmed,4.77,995.4,2.148,0.637,2007,Radial Velocity,HD 16175
HD 162004 b,Confirmed,1.53,3117,4.43,0.4,2015,Radial Velocity,HD 162004
HD 162020 b,Confirmed,14.4,8.428198,0.074,0.277,2002,Radial Velocity,HD 162020
HD 163607 b,Confirmed,0.77,75.229,0.36,0.73,2011,Radial Velocity,HD 163607
HD 163607 c,Confirmed,2.29,1314,2.42,0.12,2011,Radial Velocity,HD 163607
HD 16417 b,Confirmed,0.069,17.24,0.14,0.2,2009,Radial Velocity,HD 16417
HD 164509 b,Confirmed,0.48,282.4,0.875,0.26,2011,Radial Velocity,HD 164509
HD 164595 b,Confirmed,0.0516,40,0.23,0.088,2015,Radial Velocity,HD 164595
HD 164604 b,Confirmed,2.7,606.4,1.13,0.24,2010,Radial Velocity,HD 164604
HD 164922 b,Confirmed,0.3385,1201.1,2.115,0.126,2006,Radial Velocity,HD 164922
HD 164922 c,Confirmed,0.0406,75.765,0.3351,0.22,2016,Radial Velocity,HD 164922
HD 165155 b,Confirmed,2.89,434.5,1.13,0.2,2016,Radial Velocity,HD 165155
HD 1666 b,Confirmed,6.43,270,0.94,0.63,2015,Radial Velocity,HD 1666
HD 166724 b,Confirmed,3.53,8100,5.42,0.734,2011,Radial Velocity,HD 166724
HD 167042 b,Confirmed,1.6,416.1,1.3,0.03,2007,Radial Velocity,HD 167042
HD 168443 b,Confirmed,7.659,58.11247,0.2931,0.52883,1998,Radial Velocity,HD 168443
HD 168443 c,Confirmed,29.463,1749.83,2.8373,0.2113,2001,Radial Velocity,HD 168443
HD 168746 b,Confirmed,0.23,6.403,0.065,0.081,2002,Radial Velocity,HD 168746
HD 1690 b,Confirmed,6.1,533,1.3,0.64,2010,Radial Velocity,HD 1690
HD 169830 b,Confirmed,2.88,225.62,0.81,0.31,2000,Radial Velocity,HD 169830
HD 169830 c,Confirmed,4.04,2102,3.6,0.33,2003,Radial Velocity,HD 169830
HD 170469 b,Confirmed,0.67,1145,2.24,0.11,2007,Radial Velocity,HD 170469
HD 17092 b,Confirmed,4.6,359.9,1.29,0.166,2007,Radial Velocity,HD 17092
HD 171028 b,Confirmed,1.98,550,1.32,0.59,2007,Radial Velocity,HD 171028
HD 171238 b,Confirmed,2.6,1523,2.54,0.4,2009,Radial Velocity,HD 171238
HD 17156 b,Confirmed,3.195,21.2163979,0.1623,0.6768,2007,Primary Transit,HD 17156
HD 173416 b,Confirmed,2.7,323.6,1.16,0.21,2009,Radial Velocity,HD 173416
HD 175167 b,Confirmed,7.8,1290,2.4,0.54,2010,Radial Velocity,HD 175167
HD 175370 b,Confirmed,4.6,349.5,0.98,0.22,2016,Radial Velocity,HD 175370
HD 175541 b,Confirmed,0.61,297.3,1.03,0.33,2007,Radial Velocity,HD 175541
HD 176051 b,Confirmed,1.5,1016,1.76,0,2010,Astrometry,HD 176051
HD 17674 b,Confirmed,0.87,623.8,1.42,0,2017,Radial Velocity,HD 17674
