planet_name,planet_status,mass,orbital_period,semi_major_axis,eccentricity,discovered,detection_type,star_name
HD 65216 b,Confirmed,1.26,572.4,1.3,0.41,2003,Radial Velocity,HD 65216
HD 65216 c,Confirmed,0.17,152.6,0.54,0.02,2011,Radial Velocity,HD 65216
HD 66141 b,Confirmed,6,480.5,1.2,0.07,2012,Radial Velocity,HD 66141
HD 66428 b,Confirmed,2.82,1973,3.18,0.465,2006,Radial Velocity,HD 66428
HD 67087 b,Confirmed,3.06,352.2,1.08,0.17,2015,Radial Velocity,HD 67087
HD 67087 c,Confirmed,4.85,2374,3.86,0.76,2015,Radial Velocity,HD 67087
HD 6718 b,Confirmed,1.56,2496,3.56,0.1,2009,Radial Velocity,HD 6718
HD 68402 b,Confirmed,3.07,1103,2.18,0.03,2016,Radial Velocity,HD 68402
HD 68988 b,Confirmed,1.86,6.2771,0.0704,0.1249,2001,Radial Velocity,HD 68988
HD 69830 b,Confirmed,0.143,8.667,0.0785,0.1,2006,Radial Velocity,HD 69830
HD 69830 c,Confirmed,0.165,31.56,0.186,0.13,2006,Radial Velocity,HD 69830
HD 69830 d,Confirmed,0.253,197,0.63,0.07,2006,Radial Velocity,HD 69830
HD 70642 b,Confirmed,2,2231,3.3,0.1,2003,Radial Velocity,HD 70642
HD 7199 b,Confirmed,0.29,615,1.36,0.19,2011,Radial Velocity,HD 7199
HD 72659 b,Confirmed,3.15,3658,4.74,0.22,2002,Radial Velocity,HD 72659
HD 72892 b,Confirmed,5.45,39.475,0.228,0.423,2016,Radial Velocity,HD 72892
HD 73256 b,Confirmed,1.87,2.54858,0.037,0.029,2003,Radial Velocity,HD 73256
HD 73267 b,Confirmed,3.06,1260,2.198,0.256,2008,Radial Velocity,HD 73267
HD 73526 b,Confirmed,2.25,188.9,0.65,0.29,2002,Radial Velocity,HD 73526
HD 73526 c,Confirmed,2.25,379.1,1.03,0.28,2006,Radial Velocity,HD 73526
HD 73534 b,Confirmed,1.15,1800,3.15,0.046,2009,Radial Velocity,HD 73534
HD 74156 b,Confirmed,1.778,51.6385,0.2916,0.638,2003,Radial Velocity,HD 74156
HD 74156 c,Confirmed,7.997,2448.9,3.82,0.3829,2003,Radial Velocity,HD 74156
HD 7449 b,Confirmed,1.11,1275,2.3,0.82,2011,Radial Velocity,HD 7449
HD 7449 c,Confirmed,2,4046,4.96,0.53,2011,Radial Velocity,HD 7449
HD 75289 b,Confirmed,0.47,3.50928,0.046,0.0211,1999,Radial Velocity,HD 75289
HD 75784 b,Confirmed,1.15,341.7,1.073,0.13,2014,Primary Transit,HD 75784
HD 75784 c,Confirmed,5.6,5040,6.5,0.36,2015,Primary Transit,HD 75784
HD 75898 b,Confirmed,2.51,418.2,1.19,0.1,2007,Radial Velocity,HD 75898
HD 76700 b,Confirmed,0.23,3.97101,0.049,0.0616,2002,Radial Velocity,HD 76700
HD 76920 b,Confirmed,3.93,415.4,1.149,0.856,2017,Radial Velocity,HD 76920
HD 77065 b,Confirmed,41,119.1135,0.438,0.69397,2016,Radial Velocity,HD 77065
HD 7924 b,Confirmed,0.0273,5.39792,0.05664,0.058,2009,Radial Velocity,HD 7924
HD 7924 c,Confirmed,0.0247,15.299,0.1134,0.098,2015,Radial Velocity,HD 7924
HD 7924 d,Confirmed,0.0203,24.451,0.1551,0.21,2015,Radial Velocity,HD 7924
HD 79498 b,Confirmed,1.34,1966,3.13,0.59,2012,Radial Velocity,HD 79498
HD 80606 b,Confirmed,3.94,111.43637,0.449,0.93366,2001,Primary Transit,HD 80606
HD 81040 b,Confirmed,6.86,1001.7,1.94,0.526,2005,Radial Velocity,HD 81040
HD 81688 b,Confirmed,1.77,184.02,0.66,0,2008,Radial Velocity,HD 81688
HD 82886 b,Confirmed,1.3,705,1.65,0.27,2011,Radial Velocity,HD 82886
HD 82943 b,Confirmed,14,442.4,1.19,0.203,2003,Radial Velocity,HD 82943
HD 82943 c,Confirmed,14.4,219.3,0.746,0.425,2003,Radial Velocity,HD 82943
HD 82943 d,Confirmed,0.29,1078,2.145,0,2013,Radial Velocity,HD 82943
HD 83443 b,Confirmed,0.4,2.98572,0.0406,0.007,2002,Radial Velocity,HD 83443
HD 8535 b,Confirmed,0.68,1313,2.45,0.15,2009,Radial Velocity,HD 8535
HD 85390 b,Confirmed,0.132,788,1.52,0.41,2009,Radial Velocity,HD 85390
HD 85390 c,Confirmed,0.2,3700,4.23,0,2013,Radial Velocity,HD 85390
HD 85512 b,Confirmed,0.011,58.43,0.26,0.11,2011,Radial Velocity,HD 85512
HD 8574 b,Confirmed,2.11,227.55,0.77,0.288,2003,Radial Velocity,HD 8574
HD 86081 b,Confirmed,1.5,1.99809,0.039,0.0575,2006,Radial Velocity,HD 86081
HD 86226 b,Confirmed,1.5,1534,2.6,0.73,2010,Radial Velocity,HD 86226
HD 86264 b,Confirmed,7,1475,2.86,0.7,2009,Radial Velocity,HD 86264
HD 8673 b,Confirmed,14.2,1634,3.02,0.723,2010,Radial Velocity,HD 8673
HD 86950 b,Confirmed,3.6,1270,2.72,0.17,2016,Radial Velocity,HD 86950
HD 87646 A b,Confirmed,12.4,13.481,0.117,0.05,2016,Radial Velocity,HD 87646 A
HD 87646 A c,Confirmed,57,674,1.58,0.5,2016,Radial Velocity,HD 87646 A
HD 87883 b,Confirmed,81.9,2754,3.6,0.53,2009,Radial Velocity,HD 87883
HD 88133 b,Confirmed,0.3,3.41566,0.047,0.0761,2004,Radial Velocity,HD 88133
HD 89307 b,Confirmed,2,2199,3.34,0.25,2004,Radial Velocity,HD 89307
HD 89744 b,Confirmed,8.9,256,0.88,0.7,2000,Radial Velocity,HD 89744
HD 89744 c,Confirmed,3.2,85.2,0.44,0,2013,Radial Velocity,HD 89744
HD 90156 b,Confirmed,0.057,49.77,0.25,0.31,2009,Radial Velocity,HD 90156
HD 9174 b,Confirmed,1.11,1179,2.2,0.12,2016,Radial Velocity,HD 9174
HD 92788 b,Confirmed,27.7,325.81,0.97,0.334,2000,Radial Velocity,HD 92788
HD 92788 c,Confirmed,0.9,162,0.6,0.04,2013,Radial Velocity,HD 92788
HD 93083 b,Confirmed,0.37,143.58,0.477,0.14,2005,Radial Velocity,HD 93083
HD 93385 b,Confirmed,0.0263,13.186,0.1116,0.15,2011,Radial Velocity,HD 93385
HD 93385 c,Confirmed,0.0318,46.025,0.257,0.24,2011,Radial Velocity,HD 93385
HD 9446 b,Confirmed,0.7,30.052,0.189,0.2,2010,Radial Velocity,HD 9446
HD 9446 c,Confirmed,1.82,192.9,0.654,0.06,2010,Radial Velocity,HD 9446
HD 95089 b,Confirmed,1.2,507,1.51,0.157,2010,Radial Velocity,HD 95089
HD 95127 b,Confirmed,5.01,482,1.28,0.11,2015,Radial Velocity,HD 95127
HD 95872 b,Confirmed,4.6,4375,5.2,0.06,2015,Radial Velocity,HD 95872
HD 96063 b,Confirmed,0.9,361.1,0.99,0.28,2011,Radial Velocity,HD 96063
HD 96127 b,Confirmed,4,647.3,1.4,0.3,2011,Radial Velocity,HD 96127
HD 96167 b,Confirmed,0.68,498.9,1.3,0.71,2009,Radial Velocity,HD 96167
HD 96700 b,Confirmed,0.0284,8.1256,0.0774,0.1,2011,Radial Velocity,HD 96700
HD 96700 c,Confirmed,0.04,103.49,0.422,0.37,2011,Radial Velocity,HD 96700
HD 97658 b,Confirmed,0.023754837,9.4903,0.08,0.078,2010,Primary Transit,HD 97658
HD 98219 b,Confirmed,1.8,436.9,1.23,0.21,2011,Radial Velocity,HD 98219
HD 98649 b,Confirmed,6.8,4951,5.6,0.85,2011,Radial Velocity,HD 98649
HD 99109 b,Confirmed,0.502,439.3,1.105,0.09,2006,Radial Velocity,HD 99109
HD 99492 b,Confirmed,0.079,17.054,0.123,0.07,2004,Radial Velocity,HD 99492
HD 99706 b,Confirmed,1.4,868,2.14,0.365,2011,Radial Velocity,HD 99706
HIP 105854 b,Confirmed,8.2,184.2,0.81,0.02,2014,Radial Velocity,HIP 105854
HIP 107773 b,Confirmed,1.98,144.3,0.72,0.09,2015,Radial Velocity,HIP 107773
HIP 109384 b,Confirmed,1.56,499.48,1.134,0.549,2016,Radial Velocity,HIP 109384
HIP 109600 b,Confirmed,2.68,232.08,0.706,0.163,2016,Radial Velocity,HIP 109600
HIP 116454 b,Confirmed,0.0372,9.1265,0.098,0.205,2014,Primary Transit,HIP 116454
HIP 11915,Confirmed,0.99,3830,4.8,0.1,2015,Radial Velocity,HIP 11915
HIP 12961 b,Confirmed,0.35,57.435,0.13,0.16,2009,Radial Velocity,HIP 12961
HIP 14810 b,Confirmed,3.88,6.673855,0.0692,0.1427,2006,Radial Velocity,HIP 14810
HIP 14810 c,Confirmed,1.28,147.73,0.545,0.164,2006,Radial Velocity,HIP 14810
HIP 14810 d,Confirmed,0.57,962,1.89,0.173,2009,Radial Velocity,HIP 14810
HIP 5158 b,Confirmed,1.44,345.63,0.89,0.54,2009,Radial Velocity,HIP 5158
HIP 5158 c,Confirmed,15.04,9018,7.7,0.14,2010,Radial Velocity,HIP 5158
HIP 57050 b,Confirmed,0.298,41.397,0.163506,0.314,2010,Radial Velocity,HIP 57050
HIP 57274 b,Confirmed,0.036,8.1352,0.07,0.187,2011,Radial Velocity,HIP 57274
HIP 57274 c,Confirmed,0.41,32.03,0.178,0.05,2011,Radial Velocity,HIP 57274
HIP 57274 d,Confirmed,0.527,431.7,1.01,0.27,2011,Radial Velocity,HIP 57274
HIP 63242 b,Confirmed,9.18,124.6,0.565,0.23,2013,Radial Velocity,HIP 63242
HIP 65407 b,Confirmed,0.428,28.125,0.177,0.14,2016,Radial Velocity,HIP 65407
HIP 65407 c,Confirmed,0.784,67.3,0.316,0.12,2016,Radial Velocity,HIP 65407
HIP 65891 b,Confirmed,6,1084.5,2.81,0.13,2015,Radial Velocity,HIP 65891
HIP 67537 b,Confirmed,11.1,2592.5,4.96,0.59,2016,Radial Velocity,HIP 67537
HIP 67851 b,Confirmed,1.38,88.9,0.46,0.05,2014,Radial Velocity,HIP 67851
HIP 67851 c,Confirmed,5.98,2131.8,3.82,0.17,2015,Radial Velocity,HIP 67851
HIP 68468 b,Confirmed,0.011,1.8372,0.029743,0.41,2016,Radial Velocity,HIP 68468
HIP 68468 c,Confirmed,0.094,194,0.665,0.04,2016,Radial Velocity,HIP 68468
HIP 70849 b,Confirmed,9,10000,10,0.6,2009,Radial Velocity,HIP 70849
HIP 74890 b,Confirmed,2.4,822.3,2.1,0.07,2016,Radial Velocity,HIP 74890
HIP 75458 b,Confirmed,9.39,510.72,1.275,0.713,2002,Radial Velocity,HIP 75458
HIP 79431 b,Confirmed,2.1,111.7,0.36,0.29,2010,Radial Velocity,HIP 79431
HIP 8541 b,Confirmed,5.59,1560,2.8,0.16,2016,Radial Velocity,HIP 8541
HIP 91258 b,Confirmed,1.068,5.0505,0.057,0.024,2013,Radial Velocity,HIP 91258
HIP 97233 b,Confirmed,20,1058.8,2.55,0.61,2014,Radial Velocity,HIP 97233
HR 810 b,Confirmed,2.26,320.1,0.925,0.161,1999,Radial Velocity,HR 810
HR 8799 b,Confirmed,7,164250,68,0,2008,Imaging,HR 8799
HR 8799 c,Confirmed,10,82145,42.9,0,2008,Imaging,HR 8799
HR 8799 d,Confirmed,10,41054,27,0.1,2008,Imaging,HR 8799
HU Aqr (AB) c,Confirmed,5.9,5646,6.18,0.29,2011,Pulsar,HU Aqr (AB)
HW Vir (AB) b,Confirmed,14.3,4640,4.69,0.4,2008,Pulsar,HW Vir (AB)
K2-106 b,Confirmed,0.0263,0.571292,0.0116,0,2016,Primary Transit,EPIC 220674823
K2-106 c,Confirmed,0.018,13.3397,0.105,0.18,2016,Primary Transit,EPIC 220674823
K2-108 b,Confirmed,0.187,4.73401,0.0573,0.18,2016,Primary Transit,K2-108
K2-110 b,Confirmed,0.0525,13.86375,0.1021,0.079,2017,Primary Transit,K2-110
K2-139 b,Confirmed,0.381,28.38229,0.1811,0,2017,Primary Transit,K2-139
K2-18 b,Confirmed,0.025,32.93963,0.143,0.43,2015,Primary Transit,K2-18
K2-18 c,Confirmed,0.0236,8.962,0.06,0.47,2017,Radial Velocity,K2-18
K2-19 b,Confirmed,0.187,7.9194,0.077,0.119,2015,Primary Transit,K2-19
K2-19 c,Confirmed,0.031,11.90715,0.1032,0.095,2015,Primary Transit,K2-19
K2-29 b,Confirmed,0.73,3.2588321,0.04217,0.066,2016,Primary Transit,EPIC 211089792
K2-3  b,Confirmed,0.026,10.05449,0.0775,0.06,2015,Primary Transit,K2-3
K2-3 c,Confirmed,0.0066,24.64354,0.1405,0.04,2015,Primary Transit,K2-3
K2-3 d,Confirmed,0.0349,44.5598,0.2086,0.045,2015,Primary Transit,K2-3
K2-30 b,Confirmed,0.624,4.098507,0.04986,0.027,2016,Primary Transit,K2-30
K2-32 b,Confirmed,0.0519,8.99218,0.0808,0.21,2015,Primary Transit,EPIC 205071984
K2-33 b,Confirmed,3.6,5.42513,0.0409,0,2016,Primary Transit,EPIC 205117205
K2-34 b,Confirmed,1.78,2.995607,0.04419,0,2016,Primary Transit,K2-34
K2-39 b,Confirmed,0.125,4.60543,0.062,0.152,2016,Primary Transit,K2-39
K2-95 b,Confirmed,1.67,10.134588,0.0653,0.16,2016,Primary Transit,EPIC 211916756
K2-99 b,Confirmed,0.97,18.249,0.159,0.19,2016,Primary Transit,EPIC 212803289
KELT-1 b,Confirmed,27.38,1.217514,0.02472,0.01,2012,Primary Transit,KELT-1
KELT-11 b,Confirmed,0.195,4.736529,0.06229,0,2016,Primary Transit,KELT-11
KELT-18 b,Confirmed,1.18,2.8717518,0.0455,0,2017,Primary Transit,KELT-18
KELT-2 A b,Confirmed,1.486,4.1137914,0.05498,0.185,2012,Primary Transit,KELT-2 A
KELT-3 b,Confirmed,1.418,2.7033902,0.04117,0,2012,Primary Transit,KELT-3
KELT-4 A b,Confirmed,0.884,2.9895933,0.04321,0.03,2013,Radial Velocity,KELT-4 A
KELT-6 b,Confirmed,0.442,7.845582,0.08,0.029,2013,Primary Transit,KELT-6
KELT-6 c,Confirmed,3.71,1276,2.39,0.21,2015,Radial Velocity,KELT-6
KELT-8 b,Confirmed,0.874,3.24406,0.04571,0.035,2015,Primary Transit,KELT-8
KIC 7917485 b,Confirmed,11.8,840,2.03,0.15,2016,Other,KIC 7917485
KOI-1299 c,Confirmed,2.63,411,1.188,0.64,2014,Radial Velocity,Kepler-432
KOI-188 b,Confirmed,0.25,3.79701816,0.0464,0.33,2014,Primary Transit,KOI-188
KOI-192 b,Confirmed,0.29,10.290994,0.091,0.57,2014,Primary Transit,KOI-192
KOI-195 b,Confirmed,0.34,3.21751883,0.0414,0.18,2014,Primary Transit,KOI-195
KOI-415 b,Confirmed,62.14,166.78805,0.593,0.698,2013,Primary Transit,KOI-415
KOI-620.02,Confirmed,0.023912154,130.194,0.509,0.008,2014,TTV,Kepler-51
KOI-830 b,Confirmed,1.27,3.52563254,0.0433,0.22,2014,Primary Transit,KOI-830
Kapteyn's b,Confirmed,0.015102413,48.616,0.168,0.21,2014,Radial Velocity,Kapteyn's
Kapteyn's c,Confirmed,0.022024353,121.54,0.311,0.23,2014,Radial Velocity,Kapteyn's
Kepler-10 b,Confirmed,0.010477299,0.83749026,0.01685,0.06,2011,Primary Transit,Kepler-10
Kepler-10 c,Confirmed,0.054118366,45.294301,0.241,0.05,2011,Primary Transit,Kepler-10
Kepler-102 e,Confirmed,0.0281,16.14569,0.117,0,2013,Primary Transit,Kepler-102
Kepler-11 b,Confirmed,0.005978039,10.30375,0.091,0,2011,Primary Transit,Kepler-11
Kepler-11 c,Confirmed,0.009124375,13.02502,0.106,0,2011,Primary Transit,Kepler-11
Kepler-11 d,Confirmed,0.022968253,22.68719,0.159,0,2011,Primary Transit,Kepler-11
Kepler-11 e,Confirmed,0.03,31.9959,0.194,0,2011,Primary Transit,Kepler-11
Kepler-11 f,Confirmed,0.006292672,46.68876,0.25,0,2011,Primary Transit,Kepler-11
Kepler-11 g,Confirmed,0.95,118.37774,0.462,0,2011,Primary Transit,Kepler-11
Kepler-12 b,Confirmed,0.431,4.4379637,0.0556,0.01,2011,Primary Transit,Kepler-12
Kepler-138 b,Confirmed,0.00021,10.31320643,0.0746,0,2014,Primary Transit,KOI-314
Kepler-16 (AB) b,Confirmed,0.333,228.776,0.7048,0.00685,2011,Primary Transit,Kepler-16 (AB)
Kepler-1647 (AB) b,Confirmed,1.52,1107.5923,2.7205,0.0581,2015,Primary Transit,Kepler-1647 (AB)
Kepler-167 d,Confirmed,0.006,21.803855,0.1405,0,2016,Primary Transit,Kepler-167
Kepler-167 e,Confirmed,4,1071.23228,1.89,0.06,2016,Primary Transit,Kepler-167
Kepler-17 b,Confirmed,2.45,1.4857108,0.02591,0.011,2011,Primary Transit,Kepler-17
Kepler-19 b,Confirmed,0.026,9.2869944,0.085,0.12,2011,Primary Transit,Kepler-19
Kepler-197 c,Confirmed,0.017,10.349711,0.09,0.08,2014,Primary Transit,Kepler-197
Kepler-20 b,Confirmed,0.0305,3.69611525,0.0463,0.03,2011,Primary Transit,Kepler-20
Kepler-20 c,Confirmed,0.04012,10.85409089,0.0949,0.16,2011,Primary Transit,Kepler-20
Kepler-20 d,Confirmed,0.03168,77.61130017,0.3506,0.6,2011,Primary Transit,Kepler-20
Kepler-20 g,Confirmed,0.0628,34.94,0.2055,0.15,2016,Other,Kepler-20
Kepler-21 b,Confirmed,0.016,2.78578,0.0427172,0.02,2011,Primary Transit,Kepler-21
Kepler-23 b,Confirmed,0.0478,7.106995,0.075,0.06,2012,Primary Transit,Kepler-23
Kepler-23 c,Confirmed,0.189,10.742434,0.099,0.02,2012,Primary Transit,Kepler-23
Kepler-23 d,Confirmed,0.055,15.27429,0.124,0.08,2014,Primary Transit,Kepler-23
Kepler-25 b,Confirmed,0.028,6.2385369,0.068,0.05,2012,Primary Transit,Kepler-25
Kepler-25 c,Confirmed,0.045,12.7203678,0.11,0.01,2012,Primary Transit,Kepler-25
Kepler-289 b,Confirmed,0.023,34.545,0.21,0.024,2014,Primary Transit,Kepler-289
Kepler-289 c,Confirmed,0.013,66.0634,0.33,0.0115,2014,Primary Transit,Kepler-289
Kepler-289 d,Confirmed,0.415,125.8518,0.51,0.0033,2014,Primary Transit,Kepler-289
Kepler-338 b,Confirmed,0.0963,13.72699,0.117,0.04,2014,Primary Transit,Kepler-338
Kepler-34 (AB)  b,Confirmed,0.219928893,288.822,1.0896,0.182,2012,Primary Transit,Kepler-34 (AB)
Kepler-35 (AB) b,Confirmed,0.126797344,131.458,0.60347,0.042,2012,Primary Transit,Kepler-35 (AB)
Kepler-39 b,Confirmed,18,21.0874,0.155,0.121,2011,Primary Transit,Kepler-39
Kepler-4 b,Confirmed,0.082434006,3.21346,0.0456,0,2010,Primary Transit,Kepler-4
Kepler-40 b,Confirmed,2.2,6.87349,0.08,0,2010,Primary Transit,Kepler-40
Kepler-41  b,Confirmed,0.49,1.855558,0.029,0,2011,Primary Transit,Kepler-41
Kepler-412 b,Confirmed,0.939,1.720861232,0.02959,0.0038,2014,Primary Transit,Kepler-412
Kepler-413 (AB) b,Confirmed,0.210804518,66.262,0.3553,0.1181,2013,Primary Transit,Kepler-413 (AB)
Kepler-419 b,Confirmed,2.5,69.7546,0.37,0.833,2012,Primary Transit,KOI-1474
Kepler-419 c,Confirmed,7.3,675.47,1.68,0.184,2014,TTV,KOI-1474
Kepler-420 A b,Confirmed,1.45,86.647661,0.382,0.772,2014,Primary Transit,Kepler-420 A
Kepler-423 b,Confirmed,0.595,2.6843285,0.03585,0.019,2014,Primary Transit,Kepler-423
Kepler-43 b,Confirmed,3.23,3.024095,0.0449,0.025,2011,Primary Transit,Kepler-43
Kepler-432 b,Confirmed,5.41,52.501134,0.301,0.5121,2014,Primary Transit,Kepler-432
Kepler-433 b,Confirmed,2.82,5.33408384,0.059,0.119,2012,Primary Transit,Kepler-433
Kepler-434 b,Confirmed,2.86,12.877099,0.1143,0.131,2015,Primary Transit,Kepler-434
Kepler-435 b,Confirmed,0.84,8.6001536,0.0948,0.114,2012,Primary Transit,Kepler-435
Kepler-44 b,Confirmed,1.02,3.24674,0.0455,0.021,2011,Primary Transit,Kepler-44
Kepler-448 b,Confirmed,10,17.8552333,0.151,0,2015,Primary Transit,KOI-12
Kepler-45 b,Confirmed,0.505,2.455239,0.027,0.11,2011,Primary Transit,Kepler-45
Kepler-454 b,Confirmed,0.0215,10.57375339,0.0954,0,2015,Primary Transit,Kepler-454
Kepler-454 c,Confirmed,4.46,523.9,1.286,0.021,2015,Radial Velocity,Kepler-454
Kepler-46 b,Confirmed,0.885,33.60134,0.1967,0.01,2012,Primary Transit,Kepler-46
Kepler-46 c,Confirmed,0.362,57.004,0.2799,0.0145,2012,TTV,Kepler-46
Kepler-5 b,Confirmed,2.114,3.54846,0.05064,0,2010,Primary Transit,Kepler-5
Kepler-51 b,Confirmed,0.006607306,45.1555023,0.2514,0.04,2012,Primary Transit,Kepler-51
Kepler-51 c,Confirmed,0.012585344,85.3128662,0.384,0.014,2012,Primary Transit,Kepler-51
Kepler-539 b,Confirmed,0.97,125.63243,0.4988,0,2015,Primary Transit,Kepler-539
Kepler-56 b,Confirmed,0.07,10.5016,0.1028,0.04,2012,Primary Transit,Kepler-56
Kepler-56 c,Confirmed,0.569,21.40239,0.1652,0,2012,Primary Transit,Kepler-56
Kepler-56 d,Confirmed,5.61,1002,2,0.2,2013,Radial Velocity,Kepler-56
Kepler-6 b,Confirmed,0.669,3.234723,0.04567,0,2010,Primary Transit,Kepler-6
Kepler-64 (AB) b,Confirmed,0.53,138.506,0.634,0.0539,2013,Primary Transit,Kepler-64 (AB)
Kepler-65 c,Confirmed,0.084,5.8599408,0.068,0.08,2013,Primary Transit,Kepler-65
Kepler-68 b,Confirmed,0.0188,5.3987533,0.0617,0.02,2013,Primary Transit,Kepler-68
Kepler-68 c,Confirmed,0.00686,9.604979,0.09059,0.42,2013,Primary Transit,Kepler-68
Kepler-68 d,Confirmed,0.84,625,1.4,0.18,2013,Radial Velocity,Kepler-68
Kepler-7 b,Confirmed,0.433,4.885525,0.06246,0.1,2010,Primary Transit,Kepler-7
