planet_name,planet_status,mass,orbital_period,semi_major_axis,eccentricity,discovered,detection_type,star_name
Kepler-74 b,Confirmed,0.68,7.340718,0.084,0.287,2012,Primary Transit,Kepler-74
Kepler-75 b,Confirmed,9.9,8.884924,0.08,0.569,2013,Primary Transit,Kepler-75
Kepler-77 b,Confirmed,0.43,3.5787087,0.04501,0,2013,Primary Transit,Kepler-77
Kepler-79 b,Confirmed,0.034285,13.4845,0.117,0.015,2013,Primary Transit,Kepler-79
Kepler-79 c,Confirmed,0.018558,27.4029,0.187,0.03,2013,Primary Transit,Kepler-79
Kepler-79 d,Confirmed,0.018872,52.0902,0.287,0.025,2013,Primary Transit,Kepler-79
Kepler-79 e,Confirmed,0.0129,81.0659,0.386,0.012,2013,Primary Transit,Kepler-79
Kepler-8 b,Confirmed,0.603,3.52254,0.0483,0,2010,Primary Transit,Kepler-8
Kepler-87 b,Confirmed,1.02,114.73709,0.471,0.036,2013,Primary Transit,KOI-1574
Kepler-87 c,Confirmed,0.0201,192.363,0.664,0.039,2012,Primary Transit,KOI-1574
Kepler-88 c,Confirmed,0.626869808,22.3395,0.1529,0.05628,2013,Radial Velocity,Kepler-88
Kepler-9 b,Confirmed,0.141899758,19.22418,0.143,0.0626,2010,Primary Transit,Kepler-9
Kepler-9 c,Confirmed,0.097536419,39.03106,0.229,0.0684,2010,Primary Transit,Kepler-9
Kepler-91 b,Confirmed,0.73,6.24658,0.072,0.066,2013,Primary Transit,Kepler-91
LHS 1140 b,Confirmed,0.0209,24.73712,0.0875,0.29,2017,Primary Transit,LHS 1140
MASCARA-1 b,Confirmed,3.7,2.14878,0.043,0,2017,Primary Transit,MASCARA-1
NGC 2423 3 b,Confirmed,10.6,714.3,2.1,0.21,2007,Radial Velocity,NGC 2423 3
NGC 4349 No 127 b,Confirmed,19.8,677.8,2.38,0.19,2007,Radial Velocity,NGC 4349 No 127
NGTS-1 b,Confirmed,0.812,2.647298,0.0326,0.016,2017,Primary Transit,NGTS-1
NN Ser (AB) c,Confirmed,6.91,5660,5.38,0,2010,Pulsar,NN Ser (AB)
NN Ser (AB) d,Confirmed,2.28,2830,3.39,0.2,2009,Pulsar,NN Ser (AB)
OGLE-2006-109L c,Confirmed,0.271,4931,4.5,0.15,2008,Microlensing,OGLE-2006-109L
OGLE-2016-BLG-1190L b,Confirmed,13.38,1223.6,2.17,0.42,2017,Microlensing,OGLE-2016-BLG-1190L
OGLE-TR-10 b,Confirmed,0.68,3.10129,0.04162,0,2004,Primary Transit,OGLE-TR-10
OGLE-TR-111 b,Confirmed,0.54,4.01451,0.047,0,2004,Primary Transit,OGLE-TR-111
OGLE-TR-113 b,Confirmed,1.24,1.4324772,0.0229,0,2004,Primary Transit,OGLE-TR-113
OGLE-TR-132 b,Confirmed,1.17,1.689868,0.0306,0,2004,Primary Transit,OGLE-TR-132
OGLE-TR-182 b,Confirmed,1.06,3.9791,0.051,0,2007,Primary Transit,OGLE-TR-182
OGLE-TR-211 b,Confirmed,0.75,3.67724,0.051,0,2007,Primary Transit,OGLE-TR-211
OGLE-TR-56 b,Confirmed,1.3,1.211909,0.0225,0,2002,Primary Transit,OGLE-TR-56
PSR 1257 12 b,Confirmed,7.00E-05,25.262,0.19,0,1992,Pulsar,PSR 1257 12
PSR 1257 12 c,Confirmed,0.013,66.5419,0.36,0.0186,1992,Pulsar,PSR 1257 12
PSR 1257 12 d,Confirmed,0.012,98.2114,0.46,0.0252,1992,Pulsar,PSR 1257 12
PSR 1719-14 b,Confirmed,1,0.090706293,0.0044,0.06,2011,Pulsar,PSR 1719-14
PSR B0329+54 b,Confirmed,0.0062,10139.34,10.26,0.236,2017,Pulsar,PSR B0329+54
Pr 0211 b,Confirmed,1.88,2.14609,0.03184,0.017,2012,Radial Velocity,Pr 0211
Pr 0211 c,Confirmed,7.95,5300,5.8,0.7,2016,Radial Velocity,Pr 0211
Proxima Cen b,Confirmed,0.004,11.186,0.0485,0,2016,Radial Velocity,Proxima Centauri
Qatar-1 b,Confirmed,1.33,1.42002504,0.02343,0,2010,Primary Transit,Qatar-1
Qatar-2 b,Confirmed,2.487,1.3371182,0.02149,0,2011,Primary Transit,Qatar-2
Qatar-6 b,Confirmed,0.668,3.506189,0.0423,0,2017,Primary Transit,Qatar-6
RR Cae b,Confirmed,4.2,4350,5.3,0,2012,Pulsar,RR Cae
Ross 128 b,Confirmed,0.0044,9.8658,0.0496,0.116,2017,Radial Velocity,Ross 128
TRAPPIST-1 b,Confirmed,0.0027,1.51087081,0.01111,0,2016,Primary Transit,TRAPPIST-1
TRAPPIST-1 c,Confirmed,0.00434,2.4218233,0.01521,0,2016,Primary Transit,TRAPPIST-1
TRAPPIST-1 d,Confirmed,0.0013,4.04961,0.02144,0,2016,Primary Transit,TRAPPIST-1
TRAPPIST-1 e,Confirmed,0.002,6.099615,0.02817,0,2017,Primary Transit,TRAPPIST-1
TRAPPIST-1 f,Confirmed,0.0021,9.20669,0.0371,0,2017,Primary Transit,TRAPPIST-1
TRAPPIST-1 g,Confirmed,0.00422,12.35294,0.0451,0,2017,Primary Transit,TRAPPIST-1
TYC 3318-01333-1 b,Confirmed,3.42,562,1.414,0.098,2018,Radial Velocity,TYC 3318-01333-1
TYC 4282-605-1 b,Confirmed,10.78,101.54,0.422,0.28,2017,Radial Velocity, TYC 4282-605-1
TYC+1422-614-1 b,Confirmed,2.51,198.44,0.6879,0.07,2014,Radial Velocity,TYC+1422-614-1
TYC+1422-614-1 c,Confirmed,10.1,569.2,1.3916,0.049,2014,Radial Velocity,TYC+1422-614-1
TYC-3667-1280-1 b,Confirmed,5.4,26.468,0.21,0.036,2016,Radial Velocity,TYC-3667-1280-1
TrES-1 ,Confirmed,0.761,3.0300722,0.0393,0,2004,Primary Transit,TrES-1
TrES-2 ,Confirmed,1.253,2.470613374,0.03555,0,2006,Primary Transit,TrES-2
TrES-3 ,Confirmed,1.91,1.30618608,0.0226,0,2007,Primary Transit,TrES-3
TrES-4 ,Confirmed,0.917,3.5539268,0.05084,0,2007,Primary Transit,TrES-4
UZ For (AB) d,Confirmed,7.7,1900,2.8,0.05,2011,Pulsar,UZ For (AB)
V391 Peg b,Confirmed,3.2,1170,1.7,0,2007,Pulsar,V391 Peg
V830 Tau b,Confirmed,0.77,4.93,0.057,0,2016,Radial Velocity,V830 Tau
WASP-1 b,Confirmed,0.86,2.5199464,0.0382,0,2006,Primary Transit,WASP-1
WASP-10 b,Confirmed,3.16,3.0927616,0.0371,0.057,2008,Primary Transit,WASP-10
WASP-100 b,Confirmed,2.03,2.849375,0.0457,0,2013,Primary Transit,WASP-100
WASP-101 b,Confirmed,0.5,3.585722,0.0506,0,2013,Primary Transit,WASP-101
WASP-104 b,Confirmed,1.272,1.7554137,0.02918,0,2014,Primary Transit,WASP-104
WASP-105 b,Confirmed,1.8,7.87288,0.075,0,2017,Primary Transit,WASP-105
WASP-106 b,Confirmed,1.925,9.289715,0.0917,0,2014,Primary Transit,WASP-106
WASP-107 b,Confirmed,0.12,5.72149,0.055,0,2017,Primary Transit,WASP-107
WASP-108 b,Confirmed,1.167,2.6755463,0.0397,0,2014,Primary Transit,WASP-108
WASP-109 b,Confirmed,0.91,3.3190233,0.0463,0,2014,Primary Transit,WASP-109
WASP-11-HAT-P-10 b,Confirmed,0.46,3.722469,0.0439,0,2008,Primary Transit,WASP-11-HAT-P-10
WASP-110 b,Confirmed,0.515,3.7783977,0.0457,0,2014,Primary Transit,WASP-110
WASP-111 b,Confirmed,1.85,2.310965,0.03914,0,2014,Primary Transit,WASP-111
WASP-112 b,Confirmed,0.88,3.0353992,0.0382,0,2014,Primary Transit,WASP-112
WASP-113 b,Confirmed,0.475,4.542168745,0.05885,0,2016,Primary Transit,WASP-113
WASP-114 b,Confirmed,1.769,1.5487743,0.02851,0.012,2016,Primary Transit,WASP-114
WASP-117 b,Confirmed,0.2755,10.02165,0.09459,0.302,2014,Primary Transit,WASP-117
WASP-119 b,Confirmed,1.23,2.49979,0.0363,0.058,2016,Primary Transit,WASP-119
WASP-12 b,Confirmed,1.404,1.0914222,0.02293,0,2008,Primary Transit,WASP-12
WASP-120 b,Confirmed,5.06,3.6112706,0.0522,0.059,2015,Primary Transit,WASP-120
WASP-121 b,Confirmed,1.184,1.2749255,0.02544,0,2015,Primary Transit,WASP-121
WASP-122 b,Confirmed,1.401,1.7100567,0.03107,0,2015,Primary Transit,WASP-122
WASP-123 b,Confirmed,0.92,2.977641,0.0431,0,2015,Primary Transit,WASP-123
WASP-124 b,Confirmed,0.6,3.37265,0.0499,0.017,2016,Primary Transit,WASP-124
WASP-126 b,Confirmed,0.28,3.2888,0.0449,0.18,2016,Primary Transit,WASP-126
WASP-129 b,Confirmed,1,5.748145,0.0628,0.096,2016,Primary Transit,WASP-129
WASP-13 b,Confirmed,0.485,4.353011,0.05379,0,2008,Primary Transit,WASP-13
WASP-130 b,Confirmed,1.23,11.55098,0.1012,0,2016,Primary Transit,WASP-130
WASP-131 b,Confirmed,0.27,5.322023,0.0607,0,2016,Primary Transit,WASP-131
WASP-132 b,Confirmed,0.41,7.133521,0.067,0,2016,Primary Transit,WASP-132
WASP-133 b,Confirmed,1.16,2.176423,0.0345,0.17,2016,Primary Transit,WASP-133
WASP-135 b,Confirmed,1.9,1.4013794,0.0243,0,2015,Primary Transit,WASP-135
WASP-139 b,Confirmed,0.117,5.924262,0.062,0,2016,Primary Transit,WASP-139
WASP-14 b,Confirmed,7.341,2.2437661,0.036,0.087,2008,Primary Transit,WASP-14
WASP-140 b,Confirmed,2.44,2.2359835,0.0323,0.047,2016,Primary Transit,WASP-140
WASP-141 b,Confirmed,2.69,3.310651,0.0469,0,2016,Primary Transit,WASP-141
WASP-142 b,Confirmed,0.84,2.052868,0.0347,0,2016,Primary Transit,WASP-142
WASP-15 b,Confirmed,0.542,3.7520656,0.0499,0,2008,Primary Transit,WASP-15
WASP-151 b,Confirmed,0.31,4.533471,0.055,0,2017,Primary Transit,WASP-151
WASP-153 b,Confirmed,0.39,3.332609,0.048,0,2017,Primary Transit,WASP-153
WASP-156 b,Confirmed,0.128,3.836169,0.0453,0,2017,Primary Transit,WASP-156
WASP-157 b,Confirmed,0.576,3.9516205,0.0529,0,2016,Radial Velocity,WASP-157
WASP-16 b,Confirmed,0.855,3.1186009,0.0421,0,2009,Primary Transit,WASP-16
WASP-17 b,Confirmed,0.486,3.735438,0.0515,0.028,2009,Primary Transit,WASP-17
WASP-18 b,Confirmed,10.43,0.9414518,0.02047,0.0088,2009,Primary Transit,WASP-18
WASP-19 b,Confirmed,1.114,0.78884,0.01616,0.0046,2009,Primary Transit,WASP-19
WASP-2 b,Confirmed,0.847,2.15222144,0.03138,0,2006,Primary Transit,WASP-2
WASP-20 b,Confirmed,0.313,4.8996285,0.06003,0,2011,Primary Transit,WASP-20
WASP-21 b,Confirmed,0.3,4.3225126,0.052,0,2010,Primary Transit,WASP-21
WASP-22 b,Confirmed,0.617,3.5327313,0.04698,0,2010,Primary Transit,WASP-22
WASP-23 b,Confirmed,0.884,2.9444256,0.0376,0.062,2010,Primary Transit,WASP-23
WASP-24 b,Confirmed,1.071,2.3412127,0.03651,0,2010,Primary Transit,WASP-24
WASP-25 b,Confirmed,0.58,3.76483,0.0474,0,2010,Primary Transit,WASP-25
WASP-26 b,Confirmed,1.028,2.7566004,0.03985,0,2010,Primary Transit,WASP-26
WASP-28 b,Confirmed,0.907,3.40883,0.04469,0.046,2010,Primary Transit,WASP-28
WASP-29 b,Confirmed,0.242897146,3.922727,0.0457,0.03,2010,Primary Transit,WASP-29
WASP-3 b,Confirmed,2.06,1.8468372,0.0313,0,2007,Primary Transit,WASP-3
WASP-31 b,Confirmed,0.478,3.405909,0.04657,0,2010,Primary Transit,WASP-31
WASP-32 b,Confirmed,3.6,2.71865,0.0394,0.018,2010,Primary Transit,WASP-32
WASP-33 b,Confirmed,2.1,1.21986967,0.02558,0,2010,Primary Transit,WASP-33
WASP-34 b,Confirmed,0.59,4.3176782,0.0524,0.038,2010,Primary Transit,WASP-34
WASP-35 b,Confirmed,0.72,3.161575,0.04317,0,2011,Primary Transit,WASP-35
WASP-36 b,Confirmed,2.279,1.5373653,0.02624,0,2010,Primary Transit,WASP-36
WASP-37 b,Confirmed,1.8,3.577471,0.04339,0,2010,Primary Transit,WASP-37
WASP-38 b,Confirmed,2.712,6.871815,0.07551,0.0321,2010,Primary Transit,WASP-38
WASP-39 b,Confirmed,0.28,4.055259,0.0486,0,2011,Primary Transit,WASP-39
WASP-4 b,Confirmed,1.237,1.33823187,0.02312,0,2007,Primary Transit,WASP-4
WASP-41 b,Confirmed,0.94,3.052404,0.04,0.026,2010,Primary Transit,WASP-41
WASP-41 c,Confirmed,3.18,421,1.07,0.294,2015,Radial Velocity,WASP-41
WASP-42 b,Confirmed,0.5,4.9816872,0.0458,0.06,2011,Primary Transit,WASP-42
WASP-43 b,Confirmed,2.052,0.81347753,0.01526,0.0035,2011,Primary Transit,WASP-43
WASP-44 b,Confirmed,0.889,2.4238039,0.03473,0,2011,Primary Transit,WASP-44
WASP-45 b,Confirmed,1.007,3.1260876,0.04054,0,2011,Primary Transit,WASP-45
WASP-46 b,Confirmed,2.101,1.43037,0.02448,0,2011,Primary Transit,WASP-46
WASP-47 b,Confirmed,1.13,4.15912,0.052,0.0028,2011,Primary Transit,WASP-47
WASP-47 c,Confirmed,1.31,596,1.41,0.28,2015,Radial Velocity,WASP-47
WASP-47 d,Confirmed,0.0428,9.0304,0.088,0.007,2015,"Primary Transit, TTV",WASP-47
WASP-47 e,Confirmed,0.029,0.78961,0.0173,0.03,2015,"Primary Transit, TTV",WASP-47
WASP-48 b,Confirmed,0.98,2.143634,0.03444,0,2011,Primary Transit,WASP-48
WASP-5 b,Confirmed,1.637,1.6284246,0.02729,0,2007,Primary Transit,WASP-5
WASP-50 b,Confirmed,1.437,1.9550959,0.02913,0.009,2011,Primary Transit,WASP-50
WASP-52 b,Confirmed,0.46,1.7497798,0.0272,0,2011,Primary Transit,WASP-52
WASP-53 b,Confirmed,2.132,3.3098443,0.04101,0,2011,Radial Velocity,WASP-53
WASP-53 c,Confirmed,16.35,2840,3.73,0.8369,2016,Radial Velocity,WASP-53
WASP-55 b,Confirmed,0.57,4.465633,0.0533,0,2011,Primary Transit,WASP-55
WASP-58 b,Confirmed,0.89,5.01718,0.0561,0,2011,Primary Transit,WASP-58
WASP-6 b,Confirmed,0.503,3.361006,0.0421,0.054,2008,Primary Transit,WASP-6
WASP-61 b,Confirmed,2.06,3.8559,0.0514,0,2011,Primary Transit,WASP-61
WASP-62 b,Confirmed,0.57,4.411953,0.0567,0,2011,Primary Transit,WASP-62
WASP-63 b,Confirmed,0.38,4.37809,0.0574,0,2011,Primary Transit,WASP-63
WASP-66 b,Confirmed,2.32,4.086052,0.0546,0,2011,Primary Transit,WASP-66
WASP-67 b,Confirmed,0.42,4.61442,0.0517,0,2011,Primary Transit,WASP-67
WASP-68 b,Confirmed,0.95,5.084298,0.06206,0,2011,Primary Transit,WASP-68
WASP-69 b,Confirmed,0.26,3.8681382,0.04525,0,2011,Primary Transit,WASP-69
WASP-7 b,Confirmed,0.96,4.9546416,0.0617,0,2008,Primary Transit,WASP-7
WASP-70 A b,Confirmed,0.59,3.7130203,0.04853,0,2011,Primary Transit,WASP-70 A
WASP-71 b,Confirmed,2.258,2.9036747,0.04631,0,2012,Primary Transit,WASP-71
WASP-73 b,Confirmed,1.88,4.08722,0.05512,0,2013,Primary Transit,WASP-73
WASP-74 b,Confirmed,0.97,2.13775,0.037,0,2014,Primary Transit,WASP-74
WASP-75 b,Confirmed,1.07,2.484193,0.0375,0,2013,Primary Transit,WASP-75
WASP-76 b,Confirmed,0.92,1.809886,0.033,0,2013,Primary Transit,WASP-76
WASP-78 b,Confirmed,1.16,2.17517656,0.0415,0,2012,Primary Transit,WASP-78
WASP-79 b,Confirmed,0.9,3.6623817,0.0539,0,2012,Primary Transit,WASP-79
WASP-8 b,Confirmed,2.244,8.158715,0.0801,0.31,2008,Primary Transit,WASP-8
WASP-80 b,Confirmed,0.554,3.0678504,0.0346,0.07,2013,Primary Transit,WASP-80
WASP-81 b,Confirmed,0.729,2.7164762,0.03908,0,2016,Radial Velocity,WASP-81 
WASP-81 c,Confirmed,56.6,1297,2.426,0.557,2016,Primary Transit,WASP-81 
WASP-82 b,Confirmed,1.24,2.705782,0.0447,0,2013,Primary Transit,WASP-82
WASP-83 b,Confirmed,0.3,4.071252,0.059,0,2014,Primary Transit,WASP-83
WASP-84 b,Confirmed,0.694,8.5234865,0.0771,0,2013,Primary Transit,WASP-84
WASP-87 A b,Confirmed,2.21,1.682795,0.02946,0,2014,Primary Transit,WASP-87 A
WASP-88 b,Confirmed,0.56,4.954,0.06431,0,2013,Primary Transit,WASP-88
WASP-89 b,Confirmed,5.9,3.3564227,0.0427,0.193,2014,Primary Transit,WASP-89
WASP-90 b,Confirmed,0.63,3.916243,0.0562,0,2013,Primary Transit,WASP-90
WASP-91 b,Confirmed,1.34,1.798581,0.037,0,2017,Primary Transit,WASP-91
WASP-92 b,Confirmed,0.805,2.1746742,0.0348,0,2016,Primary Transit,WASP-92
WASP-94 A b,Confirmed,0.452,3.9501907,0.055,0,2014,Primary Transit,WASP-94 A
WASP-95 b,Confirmed,1.13,2.184673,0.03416,0,2013,Primary Transit,WASP-95
WASP-96 b,Confirmed,0.48,3.4252602,0.0453,0,2013,Primary Transit,WASP-96
WASP-97 b,Confirmed,1.32,2.07276,0.03303,0,2013,Primary Transit,WASP-97
WASP-98 b,Confirmed,0.83,2.96264,0.036,0,2013,Primary Transit,WASP-98
WASP-99 b,Confirmed,2.78,5.75251,0.0717,0,2013,Primary Transit,WASP-99
WISE J0720-0846,Confirmed,62,1388,1.3,0.8,2014,Imaging,WISE J0720-0846
WTS-1 b,Confirmed,4.01,3.352059,0.047,0.1,2012,Primary Transit,WTS-1
WTS-2 b,Confirmed,1.12,1.0187074,0.01855,0,2013,Primary Transit,WTS-2
Wolf 1061 b,Confirmed,0.00601,4.8869,0.0375,0.15,2015,Radial Velocity,Wolf 1061
Wolf 1061 c,Confirmed,0.0107,17.8719,0.089,0.11,2015,Radial Velocity,Wolf 1061
Wolf 1061 d,Confirmed,0.0242,217.21,0.47,0.55,2015,Radial Velocity,Wolf 1061
XO-1 b,Confirmed,0.9,3.9415128,0.0488,0,2006,Primary Transit,XO-1
XO-2N b,Confirmed,0.62,2.615838,0.0369,0.045,2007,Primary Transit,XO-2N
XO-2S b,Confirmed,0.259,18.157,0.1344,0.18,2014,Radial Velocity,XO-2S
XO-2S c,Confirmed,1.37,120.8,0.4756,0.1528,2014,Radial Velocity,XO-2S
XO-3 b,Confirmed,11.79,3.1915239,0.0454,0.26,2007,Primary Transit,XO-3
XO-4 b,Confirmed,1.616,4.12473,0.05485,0,2008,Primary Transit,XO-4
XO-5 b,Confirmed,1.077,4.1877537,0.0487,0,2008,Primary Transit,XO-5
XO-6 b,Confirmed,1.9,3.7650007,0.0815,0,2016,Primary Transit,XO-6
YZ Cet b,Confirmed,0.0024,1.96876,0.01557,0,2017,Radial Velocity,YZ Cet
YZ Cet c,Confirmed,0.0031,3.06008,0.0209,0.04,2017,Radial Velocity,YZ Cet
YZ Cet d,Confirmed,0.00359,4.65627,0.02764,0.129,2017,Radial Velocity,YZ Cet
alf Ari b,Confirmed,1.8,380.8,1.2,0.25,2011,Radial Velocity,alf Ari
alf Cen B b,Confirmed,0.0036,3.2357,0.04,0,2012,Radial Velocity,alpha Cen B
beta Cnc b,Confirmed,7.8,605.2,1.7,0.08,2014,Radial Velocity,beta Cnc
beta Pic b,Confirmed,7,13288,13.18,0.323,2008,Imaging,beta Pic
beta Umi b,Confirmed,6.1,522.3,1.4,0.19,2014,Radial Velocity,beta Umi
eps CrB b,Confirmed,6.7,417.9,1.3,0.11,2012,Radial Velocity,eps CrB
eps Eridani b,Confirmed,3.09,2502,3.39,0.702,2000,Radial Velocity,eps Eridani
eps Tau b,Confirmed,7.34,594.9,1.9,0.151,2007,Radial Velocity,eps Tau
eta Cet b,Confirmed,2.55,403.5,1.27,0.13,2014,Radial Velocity,eta Cet
eta Cet c,Confirmed,3.32,751.9,1.93,0.1,2014,Radial Velocity,eta Cet
gamma 1 Leo b,Confirmed,63.9,428.5,1.19,0.144,2009,Radial Velocity,gamma 1 Leo
gamma Cephei b,Confirmed,11.1,903.3,2.05,0.049,2003,Radial Velocity,gamma Cephei
kappa CrB b,Confirmed,1.6,1251,2.6,0.19,2007,Radial Velocity,kappa CrB
ksi Aql b,Confirmed,2.02,136.75,0.58,0,2008,Radial Velocity,ksi Aql
mu Ara b,Confirmed,1.676,643.25,1.5,0.128,2000,Radial Velocity,mu Ara
mu Ara c,Confirmed,0.03321,9.6386,0.09094,0.172,2004,Radial Velocity,mu Ara
mu Ara d,Confirmed,0.5219,310.55,0.921,0.0666,2004,Radial Velocity,mu Ara
mu Ara e,Confirmed,1.814,4205.8,5.235,0.0985,2006,Radial Velocity,mu Ara
mu Leo b,Confirmed,2.4,357.8,1.1,0.09,2014,Radial Velocity,mu Leo
nu Oph b,Confirmed,24,530.32,1.9,0.13,2004,Radial Velocity,nu Oph
nu Oph c,Confirmed,27,3186,6.1,0.18,2010,Radial Velocity,nu Oph
ome Ser b,Confirmed,1.7,277.02,1.1,0.106,2013,Radial Velocity,ome Ser
omi CrB b,Confirmed,1.5,187.3,0.83,0.191,2012,Radial Velocity,omi  CrB
sig Per b,Confirmed,6.5,579.8,1.8,0.3,2014,Radial Velocity,sig Per
tau Boo b,Confirmed,5.84,3.31249,0.046,0.0787,1996,Radial Velocity,tau Boo
tau Cet e,Confirmed,0.0124,162.87,0.538,0.18,2012,Radial Velocity,tau Cet
tau Cet f,Confirmed,0.0124,636.13,1.334,0.16,2012,Radial Velocity,tau Cet
tau Cet g,Confirmed,0.00551,20,0.133,0.06,2017,Radial Velocity,tau Cet
tau Cet h,Confirmed,0.00576,49.41,0.243,0.23,2017,Radial Velocity,tau Cet
tau Gem b,Confirmed,20.6,305.5,1.17,0.031,2004,Radial Velocity,tau Gem
ups And b,Confirmed,0.62,4.61711,0.059,0.01186,1996,Radial Velocity,ups And
ups And c,Confirmed,9.1,240.937,0.861,0.2445,1999,Radial Velocity,ups And
ups And d,Confirmed,23.58,1281.439,2.55,0.316,1999,Radial Velocity,ups And
ups And e,Confirmed,1.059,3848.86,5.2456,0.00536,2010,Radial Velocity,ups And
